row_id,platform,split,source_index,live_id,species,content,label,official_background,all_sequence_index,context_json,prompt_version,prompt_hash,input_hash,qwen_background_structured,raw_response,structured_object,structured_act,structured_evidence,valid_structure,validation_error,label_like_output,generation_seconds,total_generation_seconds,prompt_tokens,generated_tokens,total_duration_ns,load_duration_ns,attempts,error
douyin-train-000007,douyin,train,7,56697889278,生活日杂,鲜花饼还有么,1,该用户想询问直播间是否还有鲜花饼库存可供购买。,12,"[""安吉白茶什么时候有"", ""锅什么时候有"", ""什么时候还有铁锅"", ""风干牛肉干"", ""白白吉馍在几号链接""]",structured_v2,474ab6aaed3dc2291a9d907f561e7ac9e5d3cbb607e7b00bab7dfccde170bfc6,9ea4d0d5f7c21f9de3d24624cbeabdedd373d86627efe356d4fe2ed1ab0f4b73,对象：鲜花饼；言语行为：询问；原句证据：鲜花饼还有么,对象：鲜花饼；言语行为：询问；原句证据：鲜花饼还有么,鲜花饼,询问,鲜花饼还有么,True,,False,0.7915027999843005,0.7915050000010524,245,23,785818400,27814900,1,
douyin-train-000011,douyin,train,11,56697889278,生活日杂,教一下用券,0,该用户想表达的含义是：希望主播讲解如何使用优惠券来购买商品。,16,"[""白白吉馍在几号链接"", ""鲜花饼还有么"", ""有人参果吗"", ""婴儿能吃吗请问请问小婴儿能吃吗？"", ""百合有吗""]",structured_v2,188b62c61829bc41c91dfbff1d7dd6bd64328965aa2d6686f374cba825fb04a6,16f504d0de8cd230ffe8f8d8b6ed3f4e4d2f7db04e1ce6f9a156d1fc5011f8ba,对象：主播；言语行为：请求指导；原句证据：教一下用券,对象：主播；言语行为：请求指导；原句证据：教一下用券,主播,请求指导,教一下用券,True,,False,0.8297112000000197,0.8297129000129644,250,23,826220900,26073400,1,
douyin-train-000020,douyin,train,20,56697889278,生活日杂,大气,0,该用户可能在夸赞主播或商品的风格高端、有档次。,29,"[""有带蘸料吗？"", ""感觉好好吃"", ""家电什么时候返场"", ""下一站去哪？"", ""防晒喷雾上点，防晒喷雾上点，防晒喷雾上点""]",structured_v2,2c31d137367e074da678322820bc0cb7e4a61260a1a2750074002667f52c46ee,64e4bf2c022635502634111dc11b2db91aae938a193b35642f63b1f0942cdb63,对象：未指明；言语行为：感叹；原句证据：大气,对象：未指明；言语行为：感叹；原句证据：大气,未指明,感叹,大气,True,,False,0.8028231000062078,0.8028254000237212,251,21,788936900,34067900,1,
douyin-train-000079,douyin,train,79,56697889278,生活日杂,先泡还是先蒸容易炖烂吗,1,该用户是在询问烹饪某种食材（可能是鱼或肉类）时，采用先浸泡还是先蒸制的处理方式更容易使其炖煮软烂。,122,"[""与辉同行一路光明"", ""得利斯的肉肠什么时候还会有呀？"", ""产品问题请跟与辉同行的客服联系"", ""开袋即食可以吗亲？"", ""鲅鱼馅是开好价了吗""]",structured_v2,38b8e71298d65a77d136ad27cf09a88975dba4afdb3e0976b3dbb5994b3db232,01c30c68b9dc848fa8f90f30d598037546db2691fdb7cd50b85bfddf40b74900,对象：食物；言语行为：询问；原句证据：先泡还是先蒸容易炖烂吗,对象：食物；言语行为：询问；原句证据：先泡还是先蒸容易炖烂吗,食物,询问,先泡还是先蒸容易炖烂吗,True,,False,0.978219699987676,0.9782216999738012,266,27,975421300,28679300,1,
douyin-train-000088,douyin,train,88,56697889278,生活日杂,中午好！,0,该用户可能是刚进入直播间，以问候的方式表示关注或参与互动。,133,"[""焯水吗"", ""产品有问题请先找商家售后，如果商家解决达不到您满意。可以再找与辉同行客服！"", ""可以放多久"", ""帅哥"", ""有没有蓝莓树苗""]",structured_v2,46507349087f0bde7a963adcccfd065e5b43e5c5357a3710faeebd5dbf868f9a,ae03a16e60c3e18765b75850932b05a50d97ba664af17e27fae1be4b9c051a72,对象：未指明；言语行为：问候；原句证据：中午好！,对象：未指明；言语行为：问候；原句证据：中午好！,未指明,问候,中午好！,True,,False,0.8343416000134312,0.8343438000010792,255,23,826160600,27438400,1,
douyin-train-000100,douyin,train,100,56697889278,生活日杂,你们辛苦了,0,该用户是在对主播团队的付出表示友善的慰问和鼓励。,150,"[""没吃过"", ""说的好详细"", ""中午好"", ""喜欢这个直播间"", ""宇辉同行一路光明""]",structured_v2,b511fdc86b6bcb37478c06317eff490ce57e97450f89a646f75e49e375d38e7e,29c443bdbbd87a3aa9a43a2f9c590cb108456a41ce0bc7a03376a0b9b4067bc8,对象：主播；言语行为：感谢；原句证据：你们辛苦了,对象：主播；言语行为：感谢；原句证据：你们辛苦了,主播,感谢,你们辛苦了,True,,False,0.7724999999918509,0.7725021000078414,235,21,767521700,44359100,1,
douyin-train-000111,douyin,train,111,56697889278,生活日杂,什么馅的,1,该用户是在询问直播中展示的水饺具体有哪些馅料种类。,164,"[""传熙云南行唱了彩云之南"", ""这个馅不多见"", ""不是一袋十个吗"", ""一袋10个，一共40个"", ""一袋10 个不是40 个""]",structured_v2,35b1c501d9e28c9fb51a553e218060b1bfba8bb202b693eed96cbb00d8503735,3a5f976d285af090a1479a8a5261507148d791cc24c3170ef201bffec8563a75,对象：产品；言语行为：询问；原句证据：什么馅的,对象：产品；言语行为：询问；原句证据：什么馅的,产品,询问,什么馅的,True,,False,0.7658379999920726,0.7658404000103474,260,21,762004100,31804200,1,
douyin-train-000122,douyin,train,122,56697889278,生活日杂,好吃吗,1,该用户想询问该款蒲公英水饺的实际口感如何，以评估是否符合自己的口味偏好。,182,"[""来了"", ""看着不错"", ""好吃么"", ""有其他馅的吗"", ""这个蒲公英水饺不常见，特别好吃""]",structured_v2,f4af11aa218138dab0b636f8f6ff45e5edfa255a5249845a841bd1974f1447b8,34d78be17524f9e5320c94cc8adf85094858cf0d6587a597023d4d3142a2d1fe,对象：水饺；言语行为：询问；原句证据：好吃吗,对象：水饺；言语行为：询问；原句证据：好吃吗,水饺,询问,好吃吗,True,,False,0.7543324000143912,0.754335000005085,240,21,750544100,26850300,1,
douyin-train-000140,douyin,train,140,56697889278,生活日杂,烤箱能不能烤,1,该用户可能是在询问直播中展示的烤箱是否具备基本的烘焙功能，想确认产品实用性以便决定是否购买。,202,"[""中午好小贝"", ""中午好"", ""已下单1号商品"", ""帅哥靓妹"", ""熙宝 小贝中午好""]",structured_v2,0ee14b2c6b40cb56505fa8c8d0b5b19a9db242f1e4636261b280cc0e0b084d4e,ae41a3e2a8f60348a9e0e25248102337064b35596f01262698dd940c5adf161c,对象：烤箱；言语行为：询问；原句证据：烤箱能不能烤,对象：烤箱；言语行为：询问；原句证据：烤箱能不能烤,烤箱,询问,烤箱能不能烤,True,,False,0.8284487999917474,0.8284506000054535,242,23,823292700,38715100,1,
douyin-train-000141,douyin,train,141,56697889278,生活日杂,真懂,0,该用户想表达的含义是：主播对产品特点的介绍非常专业到位，让我产生了信任感。,204,"[""已下单1号商品"", ""帅哥靓妹"", ""熙宝 小贝中午好"", ""烤箱能不能烤"", ""现在发型好看""]",structured_v2,aa7fe92d84c731090d41f53d4ab61157d0e0135de386b05a3fc1097820e14d46,99feea916954b60d04be370d805aa04a2dbffac192b3761fe71ba7e116b9f638,对象：主播；言语行为：称赞；原句证据：真懂,对象：主播；言语行为：称赞；原句证据：真懂,主播,称赞,真懂,True,,False,0.7297864000138361,0.7297883999999613,241,20,726214700,34401600,1,
